SMILES,Solvent,LGAC,Et30,SP,SdP,SA,SB
CC(C)(C)c1cc2c(-c3cccc4ccccc34)c(-c3cccc4ccccc34)c3cccc4c(-c5cccc6ccccc56)c(-c5cccc6ccccc56)c(c1)[n+]2c34,C(Cl)Cl,4.4535,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1cc2c(-c3ccccc3)c(-c3ccccc3)c3cccc4c(-c5ccccc5)c(-c5ccccc5)c(c1)[n+]2c34,C(Cl)Cl,4.451,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1cc2c3c(c1)c1cc(C(C)(C)C)cc4c1n3B1c3c-2cccc3-c2cc(C(C)(C)C)cc3c5cc(C(C)(C)C)cc-4c5n1c23,C(Cl)Cl,4.3576,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1ccc(-[n+]2nc3c(-c4ccc(Oc5ccccc5)cc4)cc(C(C)(C)C)cc3c3ccc(Oc4ccccc4)cc32)cc1,C(Cl)Cl,4.279,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1ccc(-[n+]2nc3ccccc3c3ccccc32)cc1,C(Cl)Cl,4.418,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1ccc(-c2c(-c3ccc(C(C)(C)C)cc3)c3cc(C(C)(C)C)cc4c(-c5ccc(C(C)(C)C)cc5)c(-c5ccc(C(C)(C)C)cc5)c5cccc2c5[n+]34)cc1,C(Cl)Cl,4.4461,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1ccc(-c2c3ccc(=[NH2+])cc-3sc3cc(N)ccc23)cc1,O,4.284,63.1,0.681,0.997,1.062,0.025
CC(C)(C)c1ccc(-c2cc3c(-c4ccc(F)cc4)c(-c4ccc(F)cc4)oc4c5oc(-c6ccc(F)cc6)c(-c6ccc(F)cc6)c6cc(-c7ccc(C(C)(C)C)cc7)cc(c(c2)c34)c65)cc1,C(Cl)Cl,4.3747,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1ccc(-c2cc3c(-c4ccccc4)c(-c4ccccc4)oc4c5oc(-c6ccccc6)c(-c6ccccc6)c6cc(-c7ccc(C(C)(C)C)cc7)cc(c(c2)c34)c65)cc1,C(Cl)Cl,4.3716,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1ccc(-c2ncc3cccc(-c4ccccc4)n23)cc1,C(Cl)Cl,4.4698,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1ccc(-c2nnc3ccccn23)cc1,C(Cl)Cl,4.5497,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1ccc(-c2oc3c4oc(-c5ccc(C(C)(C)C)cc5)c(-c5ccc(C(C)(C)C)cc5)c5cc(Br)cc(c6cc(Br)cc(c2-c2ccc(C(C)(C)C)cc2)c63)c54)cc1,C(Cl)Cl,4.3747,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1ccc(-c2oc3c4oc(-c5ccc(C(C)(C)C)cc5)c(-c5ccc(C(C)(C)C)cc5)c5cccc(c6cccc(c2-c2ccc(C(C)(C)C)cc2)c63)c54)cc1,C(Cl)Cl,4.3646,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1ccc(/C=c2\o/c(=C\c3ccccc3)c3ccccc23)cc1,C(Cl)Cl,4.426,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1ccc2c(c1)c(-c1ccccc1)c(-c1ccccc1)[n+]1c3ccccc3c(-c3ccccc3)c(-c3ccccc3)c21,C(Cl)Cl,4.3467,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2B1c2c-3cccc2-c2cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n1c23,C(Cl)Cl,4.433,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1ccc2c(c1)c1cccc3cnc2n31,CO,4.3725,55.4,0.608,0.904,0.605,0.545
CC(C)(C)c1ccc2c(c1)n[n+](-c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccccc21,C(Cl)Cl,4.3535,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1ccc2c(c1)sc1[n+]2[B-](F)(F)n2c(c3cccc4c(Br)ccc2c43)=C1CN,C(Cl)Cl,4.6522,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1ccc2c(c1)sc1[n+]2[B-](F)(F)n2c(c3cccc4cccc2c43)=C1CN,C(Cl)Cl,4.6021,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1ccc2c(c1)sc1[n+]2[B-](F)(F)n2c(c3cccc4cccc2c43)=N1,C(Cl)Cl,4.5224,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1ccc2oc(-c3ccc(-c4nc5cc(C(C)(C)C)ccc5o4)s3)nc2c1,CC1=CC=CC=C1,4.5682,33.9,0.782,0.284,0,0.128
CC(C)(C)c1cccc(-[n+]2nc3cc(C(C)(C)C)ccc3c3cc(Br)ccc32)c1,C(Cl)Cl,4.4035,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1cccc(-[n+]2nc3cc(C(C)(C)C)ccc3c3cc(Cl)ccc32)c1,C(Cl)Cl,4.4057,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1cccc(-[n+]2nc3cc(C(C)(C)C)ccc3c3cc(F)ccc32)c1,C(Cl)Cl,4.418,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1cccc(-[n+]2nc3cc(C(C)(C)C)ccc3c3ccc(-c4ccccc4)cc32)c1,C(Cl)Cl,4.3206,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1cccc(-[n+]2nc3cc(C(C)(C)C)ccc3c3ccc(C(C)(C)C)cc32)c1,C(Cl)Cl,4.3516,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1cccc(-[n+]2nc3cc(C(C)(C)C)ccc3c3ccc(Oc4ccccc4)cc32)c1,C(Cl)Cl,4.3151,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1cccc(-[n+]2nc3cc(C(C)(C)C)ccc3c3ccccc32)c1,C(Cl)Cl,4.3625,40.7,0.761,0.769,0.04,0.178
CC(C)=[N+]1N=C2C=CC(Br)=CN2[B-]1(F)F,CC(=O)C,4.3946,42.2,0.651,0.907,0,0.475
CC(C)=[N+]1N=C2C=CC(Br)=CN2[B-]1(F)F,C(Cl)Cl,4.3893,40.7,0.761,0.769,0.04,0.178
CC(C)=[N+]1N=C2C=CC(Br)=CN2[B-]1(F)F,O,4.3936,63.1,0.681,0.997,1.062,0.025
CC(C)=[N+]1N=C2C=CC(Br)=CN2[B-]1(F)F,CO,4.3946,55.4,0.608,0.904,0.605,0.545
CC(C)=[N+]1N=C2C=CC(Br)=CN2[B-]1(F)F,CC1=CC=CC=C1,4.3915,33.9,0.782,0.284,0,0.128
CC(C)=[N+]1N=C2C=CC(I)=CN2[B-]1(F)F,CO,4.3979,55.4,0.608,0.904,0.605,0.545
CC(C)Nc1cc2c(cc1F)c(=O)c1cc(F)c(NC(C)C)cc1n2C,CCO,4.7536,51.9,0.633,0.783,0.4,0.658
CC(C)Nc1cc2c(cc1F)c(=O)c1cc(F)c(NC(C)C)cc1n2C(C)C,CCO,4.5658,51.9,0.633,0.783,0.4,0.658
CC(C)Nc1cc2oc3cc(NC(C)C)c(F)cc3c(=O)c2cc1F,CCO,4.5587,51.9,0.633,0.783,0.4,0.658
CC(C)[Si](CCc1c2ccccc2c(CC[Si](C(C)C)(C(C)C)C(C)C)c2cc3c4c(sc3cc12)-c1cc2c(cc1NB4c1ccccc1)-c1sc3cc4c(CC[Si](C(C)C)(C(C)C)C(C)C)c5ccccc5c(CC[Si](C(C)C)(C(C)C)C(C)C)c4cc3c1B(c1ccccc1)N2)(C(C)C)C(C)C,C1CCOC1,4.2742,37.4,0.714,0.634,0,0.591
CC(C)[Si](CCc1ccc2c(c1)C=C1B(N2)c2cc(CC[Si](C(C)C)(C(C)C)C(C)C)ccc2C(c2ccccc2)=C1c1ccccc1)(C(C)C)C(C)C,C(Cl)Cl,4.3959,40.7,0.761,0.769,0.04,0.178
CC(C)[Si]1(C(C)C)c2cc(C=C(CN)CN)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,C1CCCCC1,4.6493,30.9,0.683,0,0,0.073
CC(C)[Si]1(C(C)C)c2cc(CN)ccc2-c2ccc(N(C)C)cc21,C1CCCCC1,4.4579,30.9,0.683,0,0,0.073
CC(C)[Si]1(C(C)C)c2cc(CN)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,C1CCCCC1,4.4669,30.9,0.683,0,0,0.073
CC(C)[Si]1(C(C)C)c2cc(N(C)C)ccc2-c2ccc(C(F)(F)F)cc21,C1CCCCC1,4.3909,30.9,0.683,0,0,0.073
CC(C)[Si]1(C(C)C)c2ccccc2-c2ccc(N(C)C)cc21,C1CCCCC1,4.233,30.9,0.683,0,0,0.073
CC(C)c1ccc(/C=C/c2nc3ccc(N(C)C)cc3s2)cc1,C1CCCCC1,4.4829,30.9,0.683,0,0,0.073
CC(C)c1ccc(/C=C/c2nc3ccc(N(C)C)cc3s2)cc1,CC#N,4.4742,45.6,0.645,0.974,0.044,0.286
CC(C)c1ccc(C(=O)Nc2ccc(C(=O)/C=C/c3ccc(N(C)CCO)cc3)cc2)cc1,CS(=O)C,4.3666,45.1,0.83,1,0.072,0.647
CC(C)c1ccc2ccc3c(C(C)C)cc(C=O)c4ccc1c2c43,C(Cl)Cl,4.3872,40.7,0.761,0.769,0.04,0.178
CC(C)c1cccc(-[n+]2nc3cc(C(C)C)ccc3c3ccccc32)c1,C(Cl)Cl,4.3585,40.7,0.761,0.769,0.04,0.178
CC(C)c1cccc(C(C)C)c1N1B(c2ccccc2)N(c2c(C(C)C)cccc2C(C)C)C(c2ccccc2)=C1c1ccccc1,C1CCOC1,4.3915,37.4,0.714,0.634,0,0.591
CC(C)c1cccc(C(C)C)c1[N+]1=Cc2cccn2[B-]1(c1ccccc1)c1ccccc1,C1CCOC1,4.4519,37.4,0.714,0.634,0,0.591
CC(C)n1nc(CCC(=O)c2ccc3cc(N(C)C)ccc3c2)c2c(N)ncnc21,O,4.426,63.1,0.681,0.997,1.062,0.025
CC(C)n1nc(CCC(=O)c2ccc3cc(N(C)C)ccc3c2)c2c(N)ncnc21,CC#N,4.4437,45.6,0.645,0.974,0.044,0.286
CC(C)n1nc(CCC(=O)c2ccc3cc(N(C)C)ccc3c2)c2c(N)ncnc21,CC1=CC=CC=C1,4.4437,33.9,0.782,0.284,0,0.128
CC(C)n1nc(CCc2ccc3cc(N(C)C)ccc3c2)c2c(N)ncnc21,CC#N,4.4585,45.6,0.645,0.974,0.044,0.286
CC(C)n1nc(CCc2ccc3cc(N(C)C)ccc3c2)c2c(N)ncnc21,CC1=CC=CC=C1,4.4571,33.9,0.782,0.284,0,0.128
CC(CO)N1Cc2c(-c3ccc(N(C)C)cc3)c3cc(-c4ccccc4)ccn3c2C1=O,C(Cl)Cl,4.3946,40.7,0.761,0.769,0.04,0.178
CC(CO)N1Cc2c(-c3ccccc3)c3cc(-c4ccccc4)ccn3c2C1=O,C(Cl)Cl,4.4559,40.7,0.761,0.769,0.04,0.178
CC(CO)N1Cc2c(-c3ccccc3)c3cc(CN)ccn3c2C1=O,C(Cl)Cl,4.4111,40.7,0.761,0.769,0.04,0.178
CC(CO)N1Cc2c(-c3ccccc3)c3ccccn3c2C1=O,C(Cl)Cl,4.5258,40.7,0.761,0.769,0.04,0.178
CC(CO)N1Cc2c(-c3cccs3)c3cc(CN)ccn3c2C1=O,C(Cl)Cl,4.4002,40.7,0.761,0.769,0.04,0.178
CC(CO)N1Cc2c(-c3cccs3)c3ccccn3c2C1=O,C(Cl)Cl,4.4922,40.7,0.761,0.769,0.04,0.178
CC(Oc1ccccc1)C(=O)Nc1ccc(C(=O)/C=C/c2ccc(N(C)CCO)cc2)cc1,CS(=O)C,4.3666,45.1,0.83,1,0.072,0.647
CC(c1ccccc1)c1nn(-c2ccccc2)nc1-c1ccccc1,CO,4.5452,55.4,0.608,0.904,0.605,0.545
CC/[NH+]=c1/cc2oc3c(ccc4cc(O)ccc43)c(-c3ccccc3C(=O)O)c-2cc1C,O,4.2824,63.1,0.681,0.997,1.062,0.025
CC/[NH+]=c1/cc2oc3cc4c(cc3c(-c3ccccc3C(=O)[O-])c-2cc1C)N(CC)C1CCCCC1N4CC,CCO,4.244,51.9,0.633,0.783,0.4,0.658
CC1(C)C(C=CC=CC=C2N(CCCCCC(=O)O)c3ccc(S(=O)(=O)O)cc3C2(C)C)=Nc2ccc(S(=O)(=O)O)cc21,O,4.194,63.1,0.681,0.997,1.062,0.025
CC1(C)C2=[N+](c3ccc(Br)cc31)[B-](F)(F)n1cccc1-c1c2cc2n1CC=C2,CS(=O)C,4.3224,45.1,0.83,1,0.072,0.647
CC1(C)C2=[N+](c3ccc(Br)cc31)[B-](F)(F)n1cccc1-c1c2cc2n1CC=C2,O,4.3081,63.1,0.681,0.997,1.062,0.025
CC1(C)C2=[N+](c3ccc(Br)cc31)[B-](F)(F)n1cccc1-c1c2cc2n1CC=C2,CO,4.3261,55.4,0.608,0.904,0.605,0.545
CC1(C)C2=[N+](c3ccc(Br)cc31)[B-](F)(F)n1cccc1-c1c2cc2n1CC=C2,CC1=CC=CC=C1,4.3224,33.9,0.782,0.284,0,0.128
CC1(C)C2=[N+](c3ccc(Cl)cc31)[B-](F)(F)n1cccc1-c1c2cc2n1CC=C2,C(Cl)Cl,4.3261,40.7,0.761,0.769,0.04,0.178
CC1(C)C2=[N+](c3ccc(Cl)cc31)[B-](F)(F)n1cccc1-c1c2cc2n1CC=C2,CS(=O)C,4.3233,45.1,0.83,1,0.072,0.647
CC1(C)C2=[N+](c3ccc(Cl)cc31)[B-](F)(F)n1cccc1-c1c2cc2n1CC=C2,O,4.3187,63.1,0.681,0.997,1.062,0.025
CC1(C)C2=[N+](c3ccc(Cl)cc31)[B-](F)(F)n1cccc1-c1c2cc2n1CC=C2,CO,4.3261,55.4,0.608,0.904,0.605,0.545
CC1(C)C2=[N+](c3ccc(Cl)cc31)[B-](F)(F)n1cccc1-c1c2cc2n1CC=C2,CC1=CC=CC=C1,4.3251,33.9,0.782,0.284,0,0.128
CC1(C)C2=[N+](c3ccccc31)[B-](F)(F)n1cccc1-c1c2cc2n1CC=C2,C(Cl)Cl,4.3288,40.7,0.761,0.769,0.04,0.178
CC1(C)C2=[N+](c3ccccc31)[B-](F)(F)n1cccc1-c1c2cc2n1CC=C2,CS(=O)C,4.3298,45.1,0.83,1,0.072,0.647
CC1(C)C2=[N+](c3ccccc31)[B-](F)(F)n1cccc1-c1c2cc2n1CC=C2,O,4.3326,63.1,0.681,0.997,1.062,0.025
CC1(C)C2=[N+](c3ccccc31)[B-](F)(F)n1cccc1-c1c2cc2n1CC=C2,CO,4.3326,55.4,0.608,0.904,0.605,0.545
CC1(C)C2=[N+](c3ccccc31)[B-](F)(F)n1cccc1-c1c2cc2n1CC=C2,CC1=CC=CC=C1,4.3288,33.9,0.782,0.284,0,0.128
CC1(C)C=C(CS(=O)(=O)O)c2cc3c(-c4ccc(C(=O)O)cc4C(=O)O)c4cc5c(cc4[o+]c3cc2N1CCCS(N)(=O)=O)N(CCCS(N)(=O)=O)C(C)(C)C=C5CS(=O)(=O)O,O,4.2263,63.1,0.681,0.997,1.062,0.025
CC1(C)C=C(CS(=O)(=O)[O-])c2cc3cc(-c4cc[n+](CCCCCC(=O)O)cc4)c(=O)oc3cc2N1CCCS(=O)(=O)[O-],O,4.2925,63.1,0.681,0.997,1.062,0.025
CC1(C)C=C(CS(=O)(=O)[O-])c2cc3cc(C(=O)NCCCCCC(=O)O)c(=O)oc3cc2N1CCCS(=O)(=O)[O-],O,4.3545,63.1,0.681,0.997,1.062,0.025
CC1(C)CCN2CCC(C)(C)c3c2c1cc1cc(-c2nc4ccccc4s2)c(=O)oc31,C(Cl)(Cl)Cl,4.3197,39.1,0.783,0.614,0.047,0.071
CC1(C)CCN2CCC(C)(C)c3c4c(cc1c32)C(c1ccccc1C(=O)[O-])=c1cc2c3c(c1O4)C(C)(C)CC[N+]=3CCC2(C)C,CS(=O)C,4.2388,45.1,0.83,1,0.072,0.647
CC1(C)OB(c2ccc3c(c2)B2Nc4ccccc4C=C2C(c2ccccc2)=C3c2ccccc2)OC1(C)C,C(Cl)Cl,4.4089,40.7,0.761,0.769,0.04,0.178
CC1(C)OC(=C(CN)CN)C(CN)=C1/C=C/c1ccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)cc1,CC(=O)C,4.3197,42.2,0.651,0.907,0,0.475
CC1(C)OC(=C(CN)CN)C(CN)=C1/C=C/c1ccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)cc1,C(Cl)Cl,4.2934,40.7,0.761,0.769,0.04,0.178
CC1(C)OC(=C(CN)CN)C(CN)=C1/C=C/c1ccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)cc1,C(Cl)(Cl)Cl,4.2815,39.1,0.783,0.614,0.047,0.071
CC1(C)OC(=C(CN)CN)C(CN)=C1/C=C/c1ccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)cc1,CS(=O)C,4.3124,45.1,0.83,1,0.072,0.647
CC1(C)OC(=C(CN)CN)C(CN)=C1/C=C/c1ccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)cc1,C1CCOC1,4.3134,37.4,0.714,0.634,0,0.591
CC1(C)OC(=C(CN)CN)C(CN)=C1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,C(Cl)Cl,4.248,40.7,0.761,0.769,0.04,0.178
CC1(C)OC(=C(CN)CN)C(CN)=C1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,C(Cl)(Cl)Cl,4.2425,39.1,0.783,0.614,0.047,0.071
CC1(C)OC(=C(CN)CN)C(CN)=C1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,C1CCOC1,4.2693,37.4,0.714,0.634,0,0.591
CC1(C)OC(=C(CN)CN)C(S(=O)(=O)c2ccccc2)=C1/C=C/c1ccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)cc1,C(Cl)Cl,4.2958,40.7,0.761,0.769,0.04,0.178
CC1(C)OC(=C(CN)CN)C(S(=O)(=O)c2ccccc2)=C1/C=C/c1ccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)cc1,C(Cl)(Cl)Cl,4.2882,39.1,0.783,0.614,0.047,0.071
CC1(C)OC(=C(CN)CN)C(S(=O)(=O)c2ccccc2)=C1/C=C/c1ccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)cc1,C1CCOC1,4.3107,37.4,0.714,0.634,0,0.591
CC1(C)OC(=C(CN)CN)C(S(=O)(=O)c2ccccc2)=C1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,CC(=O)C,4.2636,42.2,0.651,0.907,0,0.475
CC1(C)OC(=C(CN)CN)C(S(=O)(=O)c2ccccc2)=C1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,C(Cl)Cl,4.2494,40.7,0.761,0.769,0.04,0.178
CC1(C)OC(=C(CN)CN)C(S(=O)(=O)c2ccccc2)=C1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,C(Cl)(Cl)Cl,4.2472,39.1,0.783,0.614,0.047,0.071
CC1(C)OC(=C(CN)CN)C(S(=O)(=O)c2ccccc2)=C1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,CS(=O)C,4.2472,45.1,0.83,1,0.072,0.647
CC1(C)OC(=C(CN)CN)C(S(=O)(=O)c2ccccc2)=C1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,C1CCOC1,4.2667,37.4,0.714,0.634,0,0.591
CC1(C)OC(=C(CN)CN)C(Sc2ccccc2)=C1/C=C/c1ccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)cc1,CC(=O)C,4.3487,42.2,0.651,0.907,0,0.475
CC1(C)OC(=C(CN)CN)C(Sc2ccccc2)=C1/C=C/c1ccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)cc1,C(Cl)Cl,4.34,40.7,0.761,0.769,0.04,0.178
CC1(C)OC(=C(CN)CN)C(Sc2ccccc2)=C1/C=C/c1ccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)cc1,C(Cl)(Cl)Cl,4.3345,39.1,0.783,0.614,0.047,0.071
CC1(C)OC(=C(CN)CN)C(Sc2ccccc2)=C1/C=C/c1ccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)cc1,CS(=O)C,4.342,45.1,0.83,1,0.072,0.647
CC1(C)OC(=C(CN)CN)C(Sc2ccccc2)=C1/C=C/c1ccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)cc1,C1CCOC1,4.3497,37.4,0.714,0.634,0,0.591
CC1(C)OC(=C(CN)CN)C(Sc2ccccc2)=C1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,CC(=O)C,4.3036,42.2,0.651,0.907,0,0.475
CC1(C)OC(=C(CN)CN)C(Sc2ccccc2)=C1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,C(Cl)Cl,4.2984,40.7,0.761,0.769,0.04,0.178
CC1(C)OC(=C(CN)CN)C(Sc2ccccc2)=C1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,C(Cl)(Cl)Cl,4.2984,39.1,0.783,0.614,0.047,0.071
CC1(C)OC(=C(CN)CN)C(Sc2ccccc2)=C1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,CS(=O)C,4.2916,45.1,0.83,1,0.072,0.647
CC1(C)OC(=C(CN)CN)C(Sc2ccccc2)=C1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,C1CCOC1,4.309,37.4,0.714,0.634,0,0.591
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCC3)cc21,C(Cl)(Cl)Cl,4.4156,39.1,0.783,0.614,0.047,0.071
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCC3)cc21,CS(=O)C,4.4135,45.1,0.83,1,0.072,0.647
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCC3)cc21,C1COCCO1,4.426,36,0.737,0.312,0,0.444
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCC3)cc21,CCO,4.4203,51.9,0.633,0.783,0.4,0.658
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCC3)cc21,CC#N,4.4237,45.6,0.645,0.974,0.044,0.286
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCC3)cc21,CC1=CC=CC=C1,4.4226,33.9,0.782,0.284,0,0.128
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCC3)cc21,C(Cl)(Cl)Cl,4.4023,39.1,0.783,0.614,0.047,0.071
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCC3)cc21,CS(=O)C,4.3979,45.1,0.83,1,0.072,0.647
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCC3)cc21,C1COCCO1,4.4079,36,0.737,0.312,0,0.444
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCC3)cc21,CCO,4.4035,51.9,0.633,0.783,0.4,0.658
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCC3)cc21,CC#N,4.4079,45.6,0.645,0.974,0.044,0.286
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCCC3)cc21,C(Cl)(Cl)Cl,4.4203,39.1,0.783,0.614,0.047,0.071
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCCC3)cc21,C1COCCO1,4.426,36,0.737,0.312,0,0.444
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCCC3)cc21,CCO,4.4283,51.9,0.633,0.783,0.4,0.658
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCCC3)cc21,CC#N,4.4249,45.6,0.645,0.974,0.044,0.286
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCCC3)cc21,CC1=CC=CC=C1,4.4306,33.9,0.782,0.284,0,0.128
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCCCC3)cc21,C(Cl)(Cl)Cl,4.3959,39.1,0.783,0.614,0.047,0.071
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCCCC3)cc21,CS(=O)C,4.3925,45.1,0.83,1,0.072,0.647
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCCCC3)cc21,C1COCCO1,4.4045,36,0.737,0.312,0,0.444
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCCCC3)cc21,CCO,4.4002,51.9,0.633,0.783,0.4,0.658
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCCCC3)cc21,CC#N,4.4012,45.6,0.645,0.974,0.044,0.286
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCCCC3)cc21,CC1=CC=CC=C1,4.4012,33.9,0.782,0.284,0,0.128
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCOCC3)cc21,C(Cl)(Cl)Cl,4.4341,39.1,0.783,0.614,0.047,0.071
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCOCC3)cc21,CS(=O)C,4.426,45.1,0.83,1,0.072,0.647
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCOCC3)cc21,C1COCCO1,4.4378,36,0.737,0.312,0,0.444
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCOCC3)cc21,CCO,4.4378,51.9,0.633,0.783,0.4,0.658
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCOCC3)cc21,CC#N,4.4378,45.6,0.645,0.974,0.044,0.286
CC1(C)c2ccccc2-c2ccc(N3c4ccc(-c5ccc(/C=C6\C(=O)c7ccc(C(=O)O)cc7C6=O)s5)cc4C4CCCC43)cc21,C(Cl)(Cl)Cl,4.7924,39.1,0.783,0.614,0.047,0.071
CC1(C)c2ccccc2N(c2ccc(-c3nc4ccccc4nc3-c3ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc3)cc2)c2ccccc21,CC1=CC=CC=C1,4.3979,33.9,0.782,0.284,0,0.128
CC1(C)c2ccccc2N(c2ccc(-c3nc4cccnc4nc3-c3ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc3)cc2)c2ccccc21,CC1=CC=CC=C1,4.3883,33.9,0.782,0.284,0,0.128
CC1(C)c2ccccc2N(c2ccc(-c3nc4ccncc4nc3-c3ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc3)cc2)c2ccccc21,CC1=CC=CC=C1,4.3829,33.9,0.782,0.284,0,0.128
CC1(CCCC(=O)O)/C(=C/C=C/C=C/c2cc(-c3ccccc3)[o+]c3cc4c(cc23)C(CS(=O)(=O)[O-])=CC(C)(C)N4CCCS(=O)(=O)[O-])N(CCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc21,CCO,4.1153,51.9,0.633,0.783,0.4,0.658
CC1(CCCC(=O)O)/C(=C/C=C/c2cc(-c3ccccc3)[o+]c3cc4c(cc23)C(CS(=O)(=O)[O-])=CC(C)(C)N4CCCS(=O)(=O)[O-])N(CCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc21,CCO,4.1714,51.9,0.633,0.783,0.4,0.658
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,CC(=O)C,4.8716,42.2,0.651,0.907,0,0.475
